Device Name,Model,SSID,Agent Version,Serial Number,OS Version,Group Path,OS Build Number,Application Package,Application Name,Application Version 
UK-BOS-XT3-0607,XT3,LNVisitor,28.59,2111610034,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0607,XT3,LNVisitor,28.59,2111610034,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0608,XT3,TMEVENTS,28.59,2111610075,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0610,XT3,TMEVENTS,28.59,2205310042,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0611,XT3,TMEVENTS,28.59,2204910140,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0611,XT3,TMEVENTS,28.59,2204910140,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0612,XT3,TMEVENTS,28.59,2205510102,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0614 (LOST),XT3,LNVisitor,27.41,2111210060,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Stolen/Missing/Damaged,91.16 (Oct 11 2023),com.ticketmaster.blackbird.horizon,TM1 Entry,7.11.1 (2542)
UK-BOS-XT3-0615,XT3,TMEVENTS,28.59,2205510473,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0617,XT3,TMEVENTS,28.59,2307510152,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0617,XT3,TMEVENTS,28.59,2307510152,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.5-enterprise (310030705)
UK-BOS-XT3-0618,XT3,TMEVENTS,28.57,2307510132,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0619,XT3,TMEVENTS,28.57,2307510095,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0621,XT3,TMEVENTS,28.57,2307410084,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0621,XT3,TMEVENTS,28.57,2307410084,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
UK-BOS-XT3-0622,XT3,TMEVENTS,28.57,2307510121,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0623,XT3,TMEVENTS,28.57,2307510109,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0624,XT3,TMEVENTS,28.57,2307410234,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0627,XT3,TMEVENTS,28.57,2307510151,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0627,XT3,TMEVENTS,28.57,2307510151,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0629,XT3,TMEVENTS,28.579999999999998,2307510094,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0629,XT3,TMEVENTS,28.579999999999998,2307510094,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
UK-BOS-XT3-0629,XT3,TMEVENTS,28.579999999999998,2307510094,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0630,XT3,TMEVENTS,28.57,2307410167,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0630,XT3,TMEVENTS,28.57,2307410167,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
